Date	Open	High	Low	Close*	Adj Close**	Volume
Apr 27, 2022	429.25	432.95	425.10	430.25	430.25	13,701,069
Apr 26, 2022	433.90	437.45	431.60	434.90	434.90	13,577,513
Apr 25, 2022	432.75	436.00	423.15	425.15	425.15	14,729,009
Apr 22, 2022	442.05	447.25	438.00	438.85	438.85	14,362,036
Apr 21, 2022	444.50	449.35	441.05	448.05	448.05	14,124,872
Apr 20, 2022	431.00	441.70	428.25	440.55	440.55	19,639,290
Apr 19, 2022	436.75	440.25	417.00	424.95	424.95	12,669,041
Apr 18, 2022	430.00	436.35	423.65	433.80	433.80	15,298,361
Apr 13, 2022	441.80	442.85	430.10	431.05	431.05	16,817,981
Apr 12, 2022	450.80	450.80	435.00	438.30	438.30	22,698,696
Apr 11, 2022	457.00	458.90	451.00	452.05	452.05	14,339,854
Apr 08, 2022	450.00	456.25	449.70	452.05	452.05	16,315,704
Apr 07, 2022	456.50	459.10	448.50	449.50	449.50	19,950,241
Apr 06, 2022	455.90	462.70	452.60	456.15	456.15	24,974,477
Apr 05, 2022	450.00	461.90	448.30	458.05	458.05	28,530,470
Apr 04, 2022	444.40	449.50	441.30	446.75	446.75	18,657,201
Apr 01, 2022	434.00	442.25	430.85	441.15	441.15	19,380,324
Mar 31, 2022	436.00	438.30	432.60	433.75	433.75	14,248,045
Mar 30, 2022	438.45	442.50	434.25	435.65	435.65	18,149,488
Mar 29, 2022	436.00	439.35	431.40	433.70	433.70	18,710,736
Mar 28, 2022	432.00	434.95	426.50	432.70	432.70	16,757,901
Mar 25, 2022	437.00	437.00	427.65	432.10	432.10	15,104,414
Mar 24, 2022	430.00	435.40	427.55	433.20	433.20	17,109,723
Mar 23, 2022	443.50	447.00	434.60	435.80	435.80	25,466,395
Mar 22, 2022	428.10	441.45	421.20	440.35	440.35	30,441,493
Mar 21, 2022	435.50	436.30	427.10	427.95	427.95	18,270,995
Mar 17, 2022	432.00	435.70	429.55	433.80	433.80	26,704,541
Mar 16, 2022	427.05	428.55	420.70	424.90	424.90	27,191,170
Mar 15, 2022	409.85	424.20	408.00	413.65	413.65	47,706,136
Mar 14, 2022	418.75	419.00	404.00	411.70	411.70	40,721,277
Mar 11, 2022	413.60	421.15	407.40	418.15	418.15	51,510,243
Mar 10, 2022	427.00	434.95	414.00	419.60	419.60	59,776,817
Mar 09, 2022	394.95	409.25	389.50	405.90	405.90	48,376,222
Mar 08, 2022	390.50	395.45	376.35	391.75	391.75	55,543,383
Mar 07, 2022	401.75	401.75	387.50	394.00	394.00	44,836,205
Mar 04, 2022	431.85	431.85	414.75	417.25	417.25	38,765,185
Mar 03, 2022	458.50	458.50	435.00	437.10	437.10	29,599,672
Mar 02, 2022	452.95	454.25	444.55	447.60	447.60	25,791,134
Feb 28, 2022	445.00	457.35	440.45	454.05	454.05	34,475,468
Feb 25, 2022	444.85	465.70	441.60	459.75	459.75	48,876,182
Feb 24, 2022	455.95	461.55	405.45	427.95	427.95	57,265,685
Feb 23, 2022	481.75	485.40	475.30	477.00	477.00	17,703,998
Feb 22, 2022	480.55	486.30	471.45	478.25	478.25	27,957,544
Feb 21, 2022	490.15	500.40	486.10	494.45	494.45	22,592,161
Feb 18, 2022	498.00	502.65	491.50	493.15	493.15	15,476,803
Feb 17, 2022	505.90	511.50	498.30	499.95	499.95	27,943,077
Feb 16, 2022	504.00	507.90	496.60	498.45	498.45	20,176,993
Feb 15, 2022	476.15	505.50	467.30	504.00	504.00	30,623,088
Feb 14, 2022	487.00	488.50	468.80	471.45	471.45	22,157,389
Feb 11, 2022	503.25	507.00	497.00	498.85	498.85	13,534,899
Feb 10, 2022	506.70	510.50	504.20	507.45	507.45	14,537,945
Feb 09, 2022	496.50	503.70	494.70	501.25	501.25	12,430,730
Feb 08, 2022	498.00	498.50	479.15	492.75	492.75	23,378,623
Feb 07, 2022	502.90	504.35	492.50	494.60	494.60	13,392,910
Feb 04, 2022	503.80	507.80	499.00	500.60	500.60	12,663,199
Feb 03, 2022	509.10	514.30	502.85	504.50	504.50	15,249,245
Feb 02, 2022	508.60	514.45	505.15	506.40	506.40	14,311,040
Feb 01, 2022	508.00	514.75	493.00	504.30	504.30	48,030,231
Jan 31, 2022	505.00	520.00	498.20	517.75	517.75	27,306,578
Jan 28, 2022	500.50	509.35	495.30	497.30	497.30	21,784,640
Jan 27, 2022	480.75	502.70	476.60	494.40	494.40	26,676,094
Jan 25, 2022	473.80	492.50	467.65	490.55	490.55	22,565,698
Jan 24, 2022	499.70	504.30	473.35	478.45	478.45	25,228,959
Jan 21, 2022	510.40	513.85	494.25	501.85	501.85	17,946,821
Jan 20, 2022	519.95	523.20	512.00	515.70	515.70	18,364,451
Jan 19, 2022	510.00	522.20	504.80	520.85	520.85	21,799,071
Jan 18, 2022	527.90	528.50	507.15	510.80	510.80	19,353,195
